date,ticker_x,ticker_y,last_price_x,last_price_y,last_ret_x,threshold,tp,sl,lag,max_hold,signal,reason
2025-11-21,PETR4.SA,VALE3.SA,32.5000,64.4300,-0.009750,-0.018123,0.028593,-0.037423,0,12,FLAT,PETR4 não atingiu queda suficiente
2025-11-21,PETR4.SA,VALE3.SA,32.5900,64.8800,-0.007008,-0.017636,0.023107,-0.053913,0,8,FLAT,queda de X menor que o threshold; queda de X não é grande o bastante vs volatilidade
2025-11-21,PETR4.SA,VALE3.SA,32.6000,64.8900,-0.006703,-0.017636,0.023107,-0.053913,0,8,FLAT,queda de X menor que o threshold; queda de X não é grande o bastante vs volatilidade
